,x0,x1,x2,x3,x4,type
0,1,5.1,3.5,1.4,0.2,0
1,1,4.9,3.0,1.4,0.2,0
2,1,4.7,3.2,1.3,0.2,0
3,1,4.6,3.1,1.5,0.2,0
4,1,5.0,3.6,1.4,0.2,0
5,1,5.4,3.9,1.7,0.4,0
6,1,4.6,3.4,1.4,0.3,0
7,1,5.0,3.4,1.5,0.2,0
8,1,4.4,2.9,1.4,0.2,0
9,1,4.9,3.1,1.5,0.1,0
10,1,5.4,3.7,1.5,0.2,0
11,1,4.8,3.4,1.6,0.2,0
12,1,4.8,3.0,1.4,0.1,0
13,1,4.3,3.0,1.1,0.1,0
14,1,5.8,4.0,1.2,0.2,0
15,1,5.7,4.4,1.5,0.4,0
16,1,5.4,3.9,1.3,0.4,0
17,1,5.1,3.5,1.4,0.3,0
18,1,5.7,3.8,1.7,0.3,0
19,1,5.1,3.8,1.5,0.3,0
20,1,5.4,3.4,1.7,0.2,0
21,1,5.1,3.7,1.5,0.4,0
22,1,4.6,3.6,1.0,0.2,0
23,1,5.1,3.3,1.7,0.5,0
24,1,4.8,3.4,1.9,0.2,0
25,1,5.0,3.0,1.6,0.2,0
26,1,5.0,3.4,1.6,0.4,0
27,1,5.2,3.5,1.5,0.2,0
28,1,5.2,3.4,1.4,0.2,0
29,1,4.7,3.2,1.6,0.2,0
30,1,4.8,3.1,1.6,0.2,0
31,1,5.4,3.4,1.5,0.4,0
32,1,5.2,4.1,1.5,0.1,0
33,1,5.5,4.2,1.4,0.2,0
34,1,4.9,3.1,1.5,0.1,0
35,1,5.0,3.2,1.2,0.2,0
36,1,5.5,3.5,1.3,0.2,0
37,1,4.9,3.1,1.5,0.1,0
38,1,4.4,3.0,1.3,0.2,0
39,1,5.1,3.4,1.5,0.2,0
40,1,5.0,3.5,1.3,0.3,0
41,1,4.5,2.3,1.3,0.3,0
42,1,4.4,3.2,1.3,0.2,0
43,1,5.0,3.5,1.6,0.6,0
44,1,5.1,3.8,1.9,0.4,0
45,1,4.8,3.0,1.4,0.3,0
46,1,5.1,3.8,1.6,0.2,0
47,1,4.6,3.2,1.4,0.2,0
48,1,5.3,3.7,1.5,0.2,0
49,1,5.0,3.3,1.4,0.2,0
50,1,7.0,3.2,4.7,1.4,1
51,1,6.4,3.2,4.5,1.5,1
52,1,6.9,3.1,4.9,1.5,1
53,1,5.5,2.3,4.0,1.3,1
54,1,6.5,2.8,4.6,1.5,1
55,1,5.7,2.8,4.5,1.3,1
56,1,6.3,3.3,4.7,1.6,1
57,1,4.9,2.4,3.3,1.0,1
58,1,6.6,2.9,4.6,1.3,1
59,1,5.2,2.7,3.9,1.4,1
60,1,5.0,2.0,3.5,1.0,1
61,1,5.9,3.0,4.2,1.5,1
62,1,6.0,2.2,4.0,1.0,1
63,1,6.1,2.9,4.7,1.4,1
64,1,5.6,2.9,3.6,1.3,1
65,1,6.7,3.1,4.4,1.4,1
66,1,5.6,3.0,4.5,1.5,1
67,1,5.8,2.7,4.1,1.0,1
68,1,6.2,2.2,4.5,1.5,1
69,1,5.6,2.5,3.9,1.1,1
70,1,5.9,3.2,4.8,1.8,1
71,1,6.1,2.8,4.0,1.3,1
72,1,6.3,2.5,4.9,1.5,1
73,1,6.1,2.8,4.7,1.2,1
74,1,6.4,2.9,4.3,1.3,1
75,1,6.6,3.0,4.4,1.4,1
76,1,6.8,2.8,4.8,1.4,1
77,1,6.7,3.0,5.0,1.7,1
78,1,6.0,2.9,4.5,1.5,1
79,1,5.7,2.6,3.5,1.0,1
80,1,5.5,2.4,3.8,1.1,1
81,1,5.5,2.4,3.7,1.0,1
82,1,5.8,2.7,3.9,1.2,1
83,1,6.0,2.7,5.1,1.6,1
84,1,5.4,3.0,4.5,1.5,1
85,1,6.0,3.4,4.5,1.6,1
86,1,6.7,3.1,4.7,1.5,1
87,1,6.3,2.3,4.4,1.3,1
88,1,5.6,3.0,4.1,1.3,1
89,1,5.5,2.5,4.0,1.3,1
90,1,5.5,2.6,4.4,1.2,1
91,1,6.1,3.0,4.6,1.4,1
92,1,5.8,2.6,4.0,1.2,1
93,1,5.0,2.3,3.3,1.0,1
94,1,5.6,2.7,4.2,1.3,1
95,1,5.7,3.0,4.2,1.2,1
96,1,5.7,2.9,4.2,1.3,1
97,1,6.2,2.9,4.3,1.3,1
98,1,5.1,2.5,3.0,1.1,1
99,1,5.7,2.8,4.1,1.3,1
